Phase,ID,Milestone,Owner,Effort,Target date,Status,Done when,Notes
Phase 0 - Foundations (Days 1-10),0.1,AI usage policy agreed and shared,,2 hrs,,Not started,Everyone who uses AI tools has read it,
Phase 0 - Foundations (Days 1-10),0.2,"Approved tools list written (tool, plan, purpose)",,1 hr,,Not started,List exists and is where people can find it,
Phase 0 - Foundations (Days 1-10),0.3,Data safety rules adopted,,1 hr,,Not started,De-identify rule + payment-details rule agreed,
Phase 0 - Foundations (Days 1-10),0.4,Baseline numbers recorded,,2 hrs,,Not started,Hours/week on target tasks written down honestly,
Phase 1 - First win (Days 11-35),1.1,Target workflow chosen by payback,,1 hr,,Not started,One workflow named,
Phase 1 - First win (Days 11-35),1.2,Success metric agreed,,30 min,,Not started,Metric written in one sentence,
Phase 1 - First win (Days 11-35),1.3,Tool selected and configured,,0.5-2 days,,Not started,Test run passes with dummy data,
Phase 1 - First win (Days 11-35),1.4,Live with human review,,1 week elapsed,,Not started,Running on real work; outputs checked daily,
Phase 1 - First win (Days 11-35),1.5,"Review vs baseline; keep, fix or kill",,1 hr,,Not started,Decision recorded with the numbers,
Phase 2 - Second workflow + habits (Days 36-65),2.1,Second workflow launched (repeat 1.1-1.5),,varies,,Not started,Live with review complete,
Phase 2 - Second workflow + habits (Days 36-65),2.2,Personal AI habits session for the team,,90 min,,Not started,Everyone has 2-3 prompts saved for their role,
Phase 2 - Second workflow + habits (Days 36-65),2.3,Feedback channel open,,15 min,,Not started,A place to report wins failures and ideas,
Phase 2 - Second workflow + habits (Days 36-65),2.4,Mistake protocol tested,,30 min,,Not started,Someone knows what to do when AI output is wrong,
Phase 3 - Review and next quarter (Days 66-90),3.1,Results vs baseline in writing,,2 hrs,,Not started,Hours saved and quality effects honestly stated,
Phase 3 - Review and next quarter (Days 66-90),3.2,Cost review,,1 hr,,Not started,All AI subscriptions listed vs value delivered,
Phase 3 - Review and next quarter (Days 66-90),3.3,Kill list actioned,,30 min,,Not started,Anything not earning its keep is cancelled,
Phase 3 - Review and next quarter (Days 66-90),3.4,Next-quarter roadmap drafted,,2 hrs,,Not started,Next 1-2 workflows chosen by payback,
Risk checklist,R1,Data: nothing on the never-paste list reaches AI tools,,ongoing,,Not started,Spot-checked at each phase boundary,
Risk checklist,R2,Quality: every automated output has a review step,,ongoing,,Not started,Reviewed at each phase boundary,
Risk checklist,R3,Dependency: workflows can run manually within a day,,ongoing,,Not started,Reviewed at each phase boundary,
Risk checklist,R4,Customers: human one step away wherever AI talks to customers,,ongoing,,Not started,Reviewed at each phase boundary,
Risk checklist,R5,Staff: concerns asked about not assumed,,ongoing,,Not started,Reviewed at each phase boundary,
Risk checklist,R6,Spend: AI subscription total known and reviewed,,ongoing,,Not started,Reviewed at each phase boundary,
Risk checklist,R7,Compliance: obligations checked per workflow,,ongoing,,Not started,Reviewed at each phase boundary,
